DISCIPLINA,CÓDIGO,TURMA,SALA,HORÁRIO
FISICO-QUIMICA I,QUI602,TA2,1021,3a,07:30 - 09:10,5a,07:30 - 09:10
FISICO-QUIMICA I,QUI602,TA3,2006,3a,07:30 - 09:10,5a,07:30 - 09:10
QUIMICA ORGANICA I,QUI603,TM,1017,3a,13:00 - 14:40,5a,13:00 - 14:40
FISICO-QUIMICA II,QUI604,TB1,2060,4a,09:25 - 11:05,6a,09:25 - 11:05
FISICO-QUIMICA II,QUI604,TB2,2010,4a,09:25 - 11:05,6a,09:25 - 11:05
QUIMICA ORGANICA II,QUI605,TB,2060,3a,09:25 - 11:05,5a,09:25 - 11:05
QUIMICA ANALITICA I,QUI606,TA1,2010,3a,07:30 - 09:10,5a,07:30 - 09:10
QUIMICA ANALITICA I,QUI606,TA2,2071,3a,07:30 - 09:10,5a,07:30 - 09:10
QUIMICA ANALITICA I,QUI606,TA3,2072,3a,07:30 - 09:10,5a,07:30 - 09:10
QUIMICA GERAL,QUI616,TB1,2006,3a,09:25 - 11:05,5a,09:25 - 11:05
QUIMICA GERAL,QUI616,TB2,2010,3a,09:25 - 11:05,5a,09:25 - 11:05
ELEMENTOS DE FISICO-QUIMICA,QUI623,TA1,2057,4a,07:30 - 09:10,6a,07:30 - 09:10
ELEMENTOS DE FISICO-QUIMICA,QUI623,TA2,2060,4a,07:30 - 09:10,6a,07:30 - 09:10
ELEMENTOS DE FISICO-QUIMICA,QUI623,TE,2006,3a,20:55 - 22:35,5a,20:55 - 22:35
QUIMICA ANALITICA INSTRUMENTAL F,QUI624,TE,1025,3a,19:00 - 20:40
QUIMICA ANALITICA INSTRUMENTAL F,QUI624,TO,1012,4a,13:00 - 14:40
QUIMICA ANALITICA INSTRUMENTAL F,QUI624,TP,1012,4a,14:55 - 16:35
