DISCIPLINA,CODIGO,TURMA,SALA,DIA1,HORARIO1,DIA2,HORARIO2
CALCULO FINANCEIRO E CUSTOS,CIC001,TD1,2010,2a,11:10 - 12:50,4a,11:10 - 12:50
INTRODUCAO A CONTABILIDADE,CIC010,TZ,2057,3a,19:00 - 20:40,5a,19:00 - 20:40
CONTABILIDADE DE SEGUROS,CIC029,TA,2009,3a,07:30 - 09:10,5a,07:30 - 09:10
PALESTRAS DE FISICA,COL001,TN,AUD. 4,4a,17:00 - 17:50
TEORIA ECONOMICA,ECN013,TB,2056,4a,09:25 - 11:05,6a,09:25 - 11:05
ECONOMIA A I,ECN101,TC,2008,6a,17:00 - 20:40
INTRODUCAO A ECONOMIA,ECN140,TA1,1017,2a,07:30 - 09:10,4a,07:30 - 09:10
DESENHO TECNICO F,EQM034,PPFE,2031,2a,19:00 - 22:35
INTRODUCAO A MONOGRAFIA,ICE001,TB,2024 EST,4a,09:25 - 11:05
INTRODUCAO A MATEMATICA COMPUTACIONAL,ICE106,TZ,2007,6a,17:00 - 18:40
ORGANIZACAO E TRATAMENTO DA INFORMACAO,OTI071,TW,1022,3a,19:00 - 20:40,5a,19:00 - 20:40
TOPICOS EM DEMOGRAFIA: ASPECTOS FINANCEIROS E MATEMATICOS APLICADOS AS CIENCIAS ATUARIAIS,POP004,TB,2031,3a,09:25 - 11:05,5a,09:25 - 11:05
TOPICOS EM DEMOGRAFIA: METODOS DEMOGRAFICOS APLICADOS AS CIENCIAS ATUARIAIS,POP004,TF,2030,2a,07:30 - 09:10,4a,07:30 - 09:10
TABELAS SOBREVIVENCIA NAS CIENCIAS ATUARIAIS,POP007,TB,2030,3a,09:25 - 11:05,5a,09:25 - 11:05
"FORCA DE TRABALHO, EMPREGO E PEA",POP009,TPOP7,2059,6a,07:30 - 11:05
USUARIOS DA INFORMATICA,TGI004,TZ,1025,6a,17:00 - 20:40
QUIMICA GERAL B,QUI003,TA1,1016,3a,07:30 - 09:10,5a,07:30 - 09:10
QUIMICA GERAL B,QUI003,TA2,1025,3a,07:30 - 09:10,5a,07:30 - 09:10
QUIMICA GERAL B,QUI003,TB1,1016,3a,09:25 - 11:05,5a,09:25 - 11:05
QUIMICA GERAL B,QUI003,TB2,1025,3a,09:25 - 11:05,5a,09:25 - 11:05
QUIMICA GERAL B,QUI003,TE,1023,2a,19:00 - 20:40,4a,20:55 - 22:35
QUIMICA GERAL B,QUI003,TM1,1020,3a,13:00 - 14:40,5a,13:00 - 14:40
QUIMICA GERAL B,QUI003,TM2,1025,3a,13:00 - 14:40,5a,13:00 - 14:40
QUIMICA GERAL B,QUI003,TM3,2006,3a,13:00 - 14:40,5a,13:00 - 14:40
QUIMICA GERAL B,QUI003,TN1,1020,3a,14:55 - 16:35,5a,14:55 - 16:35
QUIMICA GERAL B,QUI003,TN2,1025,3a,14:55 - 16:35,5a,14:55 - 16:35
QUIMICA GERAL B,QUI003,TN3,2006,3a,14:55 - 16:35,5a,14:55 - 16:35
FISICO-QUIMICA G I,QUI008,TA,1024,3a,08:20 - 09:10,5a,07:30 - 09:10
